City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,tocoa,15.6833,-86.0,83.82,73,72,4.72,HN,1729883591
243,vicosa do ceara,-3.5622,-41.0922,90.25,24,6,8.75,BR,1729883592
244,yatou,37.15,122.3833,54.21,80,4,4.25,CN,1729883594
245,sungailiat,-1.85,106.1333,78.15,88,100,6.78,ID,1729883595
246,borogontsy,62.6683,131.1683,6.12,86,100,10.2,RU,1729883597
247,diamantino,-14.4086,-56.4461,79.0,73,100,7.87,BR,1729883598
248,kerema,-7.9631,145.7785,75.45,96,100,9.24,PG,1729883600
249,calama,-22.4667,-68.9333,77.49,4,0,20.71,CL,1729883601
250,sinop,41.7711,34.8709,45.9,94,67,2.44,TR,1729883603
251,kwekwe,-18.9281,29.8149,81.84,31,100,3.18,ZW,1729883604
252,kudahuvadhoo,2.6708,72.8944,82.62,72,6,14.23,MV,1729883605
253,polyarnyy,69.1989,33.4478,45.91,80,100,22.08,RU,1729883606
254,shishgarh,28.7167,79.3167,72.18,76,0,7.72,IN,1729883607
255,xai-xai,-25.0519,33.6442,73.58,85,0,7.83,MZ,1729883609
256,murzuq,25.9155,13.9184,71.01,27,6,9.06,LY,1729883610
257,muynoq,43.7683,59.0214,55.99,71,100,4.21,UZ,1729883611
258,gurupi,-11.7292,-49.0686,86.7,55,100,0.51,BR,1729883556
259,pisco,-13.7,-76.2167,68.05,77,0,11.5,PE,1729883613
260,solnechnyy,50.7214,136.6319,27.07,58,0,4.72,RU,1729883614
261,salekhard,66.53,66.6019,16.57,95,65,7.31,RU,1729883615
262,sherwood park,53.5168,-113.3187,46.71,42,20,10.36,CA,1729883491
263,hobyo,5.3505,48.5268,78.55,86,78,12.66,SO,1729883618
264,minas de marcona,-15.2119,-75.1103,67.06,55,4,18.99,PE,1729883619
265,qarah zia' od din,38.8915,45.0255,50.11,39,96,4.09,IR,1729883620
266,lockwood,45.8191,-108.4149,52.41,49,75,0.0,US,1729883622
267,tralee,52.2704,-9.7026,52.16,89,73,10.45,IE,1729883623
268,bubaque,11.2833,-15.8333,82.26,74,18,6.69,GW,1729883624
269,whakatane,-37.9585,176.9854,64.51,97,100,8.01,NZ,1729883625
270,happy valley-goose bay,53.3168,-60.3315,41.31,52,20,8.05,CA,1729883626
271,shushtar,32.0455,48.8567,66.42,19,100,5.23,IR,1729883628
272,itaituba,-4.2761,-55.9836,96.96,49,20,9.22,BR,1729883629
273,sorong,-0.8833,131.25,79.41,84,100,8.84,ID,1729883630
274,maqat,47.65,53.3167,51.12,59,100,9.01,KZ,1729883632
275,talitsy,56.5289,42.3344,41.02,71,100,5.48,RU,1729883634
276,sinabang,2.4803,96.3801,78.76,81,90,3.06,ID,1729883635
277,bethanie,-26.4833,17.15,79.29,11,5,6.69,NA,1729883636
278,kapa'a,22.0752,-159.319,80.92,83,20,8.05,US,1729883470
279,fort st. john,56.2499,-120.8529,39.09,52,40,9.22,CA,1729883638
280,severo-yeniseyskiy,60.3725,93.0408,31.23,99,100,2.37,RU,1729883639
281,uray,60.1247,64.7758,39.07,90,100,3.27,RU,1729883641
282,ketchikan,55.3422,-131.6461,46.38,76,0,0.0,US,1729883643
283,antofagasta,-23.65,-70.4,61.79,76,26,8.05,CL,1729883572
284,egilsstadir,65.2653,-14.3948,48.11,71,75,11.5,IS,1729883645
285,carbonear,47.7332,-53.2148,66.24,99,100,22.35,CA,1729883461
286,badger,64.8,-147.5333,13.35,85,75,0.0,US,1729883648
287,puerto berrio,6.4916,-74.4033,94.73,49,58,1.99,CO,1729883649
288,ad dawadimi,24.5077,44.3924,67.35,48,0,18.45,SA,1729883650
289,devrekani,41.603,33.8392,39.6,92,62,3.94,TR,1729883651
290,trincomalee,8.5711,81.2335,81.0,79,100,16.71,LK,1729883428
291,isfahan,32.6572,51.6776,40.64,15,0,1.97,IR,1729883654
292,vail,32.0479,-110.712,91.2,8,0,7.0,US,1729883655
293,klyavlino,54.2649,52.0267,39.74,86,100,3.8,RU,1729883656
294,shingu,33.7333,135.9833,69.85,92,100,7.56,JP,1729883657
295,saint-pierre,-21.3393,55.4781,73.08,78,75,6.91,RE,1729883658
296,umatilla,45.5001,-118.5014,51.33,43,0,5.82,US,1729883660
297,vennesla,58.2694,7.9741,49.42,97,75,3.44,NO,1729883413
298,kabare,-2.4683,28.8242,63.54,97,100,4.12,CD,1729883662
299,hauterive,46.0901,3.4459,58.78,78,100,6.46,FR,1729883663
300,freetown,8.484,-13.2299,80.31,83,40,11.5,SL,1729883664
301,cochrane,51.1834,-114.4687,45.64,34,0,10.36,CA,1729883665
302,asmara,15.3333,38.9333,61.77,72,92,5.75,ER,1729883666
303,gulf breeze,30.3571,-87.1639,84.94,54,0,8.05,US,1729883357
304,siena,43.2167,11.4,63.18,99,99,2.95,IT,1729883669
305,kolonia,50.9333,6.95,61.03,86,0,5.75,DE,1729883670
306,vila velha,-20.3297,-40.2925,84.15,77,40,20.71,BR,1729883538
307,port augusta,-32.5,137.7667,59.32,33,100,5.3,AU,1729883672
308,tromso,69.6496,18.957,41.02,81,75,21.85,NO,1729883673
309,mil'kovo,55.6078,37.7956,43.34,80,23,4.27,RU,1729883675
310,kasangulu,-4.5911,15.1708,75.22,84,54,3.62,CD,1729883676
311,arafat,39.0344,44.6198,39.97,48,44,4.61,IR,1729883677
312,garoowe,8.4054,48.4845,82.71,60,99,11.32,SO,1729883678
313,hithadhoo,-0.6,73.0833,82.08,70,4,7.0,MV,1729883679
314,kansanshi,-12.0951,26.4273,68.99,64,84,1.86,ZM,1729883681
315,susuman,62.7833,148.1667,4.68,96,100,3.89,RU,1729883682
316,kalemie,-5.9475,29.1947,75.97,70,43,4.05,CD,1729883683
317,punta arenas,-53.15,-70.9167,50.11,57,40,35.68,CL,1729883423
318,bonthe,7.5264,-12.505,79.14,87,88,6.85,SL,1729883685
319,sitka,57.0531,-135.33,46.29,61,0,10.36,US,1729883687
320,krasnoshchekovo,51.6708,82.7289,50.52,69,100,15.68,RU,1729883688
321,sirjan,29.452,55.6814,63.61,52,4,2.75,IR,1729883689
322,sovetsk,55.0839,21.8785,44.94,58,0,7.52,RU,1729883690
323,goure,13.9835,10.2704,87.46,13,100,8.75,NE,1729883691
324,sibut,5.718,19.0739,73.92,91,100,2.39,CF,1729883693
325,boda,4.3189,17.4695,72.46,95,100,1.97,CF,1729883694
326,kirensk,57.7853,108.1119,32.43,93,100,9.1,RU,1729883695
327,kuje,8.8796,7.2272,77.41,88,20,2.3,NG,1729883696
328,ayorou,14.7308,0.9174,93.49,11,6,9.1,NE,1729883565
329,dhi as sufal,13.8345,44.1147,65.12,75,100,4.5,YE,1729883698
330,mukalla,14.5425,49.1242,81.32,78,43,6.85,YE,1729883700
331,belaya kholunitsa,58.84,50.8528,37.63,74,100,6.13,RU,1729883701
332,mrakovo,52.7161,56.6244,40.5,86,100,2.51,RU,1729883702
333,porto novo,6.4965,2.6036,80.42,88,100,4.99,BJ,1729883703
334,vilyuchinsk,52.9306,158.4028,34.07,78,9,10.16,RU,1729883704
335,ciudad hidalgo,19.6833,-100.5667,72.34,32,0,3.8,MX,1729883685
336,namtsy,62.7161,129.6658,7.32,82,25,13.62,RU,1729883707
337,alofi,-19.0595,-169.9187,76.53,80,99,19.8,NU,1729883708
338,iron river,46.0927,-88.6423,49.6,47,6,13.96,US,1729883709
339,trondheim,63.4305,10.3951,40.91,88,68,7.96,NO,1729883710
340,dzhangala,49.2167,50.3333,46.65,66,100,5.57,KZ,1729883711
341,chincha alta,-13.4099,-76.1323,69.64,72,26,8.34,PE,1729883712
342,nar'yan-mar,67.6713,53.087,31.01,76,18,5.5,RU,1729883714
343,hericourt,47.5731,6.7614,53.58,88,100,3.65,FR,1729883715
344,saint-louis,16.3333,-15.0,96.03,24,10,8.9,SN,1729883716
345,kingston,17.997,-76.7936,83.16,87,61,0.31,JM,1729883717
346,samus',56.7475,84.6992,43.23,86,100,11.23,RU,1729883719
347,amos,48.5669,-78.1162,46.47,77,100,12.26,CA,1729883701
348,hun,29.1268,15.9477,70.48,36,1,10.76,LY,1729883721
349,goba,7.0167,39.9833,53.67,92,100,1.68,ET,1729883722
350,tazovsky,67.4667,78.7,10.85,96,43,7.76,RU,1729883724
351,grand gaube,-20.0064,57.6608,75.38,88,89,5.01,MU,1729883725
352,la'ie,21.6477,-157.9253,85.96,79,60,5.99,US,1729883473
353,mont-dore,-22.2833,166.5833,72.01,82,100,4.29,NC,1729883728
354,choyr,46.3611,108.3611,29.89,62,32,6.46,MN,1729883729
355,rongelap,11.1635,166.8941,83.53,77,71,15.5,MH,1729883732
356,male,4.1748,73.5089,84.15,79,75,12.66,MV,1729883733
357,barah,13.7,30.3667,84.65,11,0,13.87,SD,1729883735
358,puerto quijarro,-17.7833,-57.7667,101.01,29,100,5.08,BO,1729883736
359,savannakhet,16.566,104.751,67.8,50,100,3.67,LA,1729883737
360,rikaze,29.25,88.8833,42.89,38,0,2.17,CN,1729883738
361,haiku-pauwela,20.9219,-156.3051,77.02,80,75,13.0,US,1729883739
362,brisas de zicatela,15.8369,-97.0419,86.52,84,20,6.91,MX,1729883741
363,madera,37.1666,-119.8343,86.14,34,98,4.56,US,1729883702
364,kununurra,-15.7667,128.7333,80.58,74,85,0.0,AU,1729883743
